,key,values,quest_id
0,item1,Finance,905ddcf2-ce95-11eb-9a92-7c67a234f601
1,item6,Technology (Software/ Internet),905e2608-ce95-11eb-809f-7c67a234f601
2,item5,Education,905e2608-ce95-11eb-809f-7c67a234f601
3,item3,Consulting,905e2608-ce95-11eb-809f-7c67a234f601
4,item7,Energy,905e2608-ce95-11eb-809f-7c67a234f601
5,item12,Marketing,905e2608-ce95-11eb-809f-7c67a234f601
6,item8,Retail/ E-Commerce,905e4cf5-ce95-11eb-96a9-7c67a234f601
7,item12,Marketing,905e4cf5-ce95-11eb-96a9-7c67a234f601
8,item6,Technology (Software/ Internet),905e4cf5-ce95-11eb-96a9-7c67a234f601
9,item5,Education,905e4cf5-ce95-11eb-96a9-7c67a234f601
10,item3,Consulting,905e4cf5-ce95-11eb-96a9-7c67a234f601
11,item1,Finance,905e73fd-ce95-11eb-a7b0-7c67a234f601
12,item6,Technology (Software/ Internet),905e73fd-ce95-11eb-a7b0-7c67a234f601
13,item6,Technology (Software/ Internet),905e9b27-ce95-11eb-9c37-7c67a234f601
14,item8,Retail/ E-Commerce,905e9b27-ce95-11eb-9c37-7c67a234f601
15,item4,Public Sector/ Non-Profit Agencies,905e9b27-ce95-11eb-9c37-7c67a234f601
16,item13,Communications,905e9b27-ce95-11eb-9c37-7c67a234f601
17,item5,Education,905e9b27-ce95-11eb-9c37-7c67a234f601
18,item4,Public Sector/ Non-Profit Agencies,905ec1ec-ce95-11eb-8136-7c67a234f601
19,item6,Technology (Software/ Internet),905ec1ec-ce95-11eb-8136-7c67a234f601
20,item6,Technology (Software/ Internet),905ec1ed-ce95-11eb-829c-7c67a234f601
21,item6,Technology (Software/ Internet),905ef688-ce95-11eb-9b57-7c67a234f601
22,item13,Communications,905f0fbd-ce95-11eb-b153-7c67a234f601
23,item3,Consulting,905f0fbd-ce95-11eb-b153-7c67a234f601
24,item5,Education,905f0fbd-ce95-11eb-b153-7c67a234f601
25,item6,Technology (Software/ Internet),905f36c8-ce95-11eb-bef0-7c67a234f601
26,item2,Healthcare,905f36c9-ce95-11eb-aa33-7c67a234f601
27,item5,Education,905f36c9-ce95-11eb-aa33-7c67a234f601
28,item6,Technology (Software/ Internet),905f36c9-ce95-11eb-aa33-7c67a234f601
29,item12,Marketing,905f36c9-ce95-11eb-aa33-7c67a234f601
30,item8,Retail/ E-Commerce,905f36ca-ce95-11eb-9411-7c67a234f601
31,item12,Marketing,905f36ca-ce95-11eb-9411-7c67a234f601
32,item6,Technology (Software/ Internet),905f36ca-ce95-11eb-9411-7c67a234f601
33,item6,Technology (Software/ Internet),905f5dbf-ce95-11eb-a1fb-7c67a234f601
34,item7,Energy,905f5dbf-ce95-11eb-a1fb-7c67a234f601
35,item1,Finance,905f5dbf-ce95-11eb-a1fb-7c67a234f601
36,item8,Retail/ E-Commerce,905f5dbf-ce95-11eb-a1fb-7c67a234f601
37,item13,Communications,905f5dbf-ce95-11eb-a1fb-7c67a234f601
38,item6,Technology (Software/ Internet),905f5dc0-ce95-11eb-8056-7c67a234f601
39,item2,Healthcare,905f5dc1-ce95-11eb-bfa7-7c67a234f601
40,item3,Consulting,905f5dc1-ce95-11eb-bfa7-7c67a234f601
41,item4,Public Sector/ Non-Profit Agencies,905f5dc1-ce95-11eb-bfa7-7c67a234f601
42,item6,Technology (Software/ Internet),905f5dc1-ce95-11eb-bfa7-7c67a234f601
43,item12,Marketing,905f5dc1-ce95-11eb-bfa7-7c67a234f601
44,item7,Energy,905f84ab-ce95-11eb-8886-7c67a234f601
45,item6,Technology (Software/ Internet),905f84ab-ce95-11eb-8886-7c67a234f601
46,item3,Consulting,905f84ab-ce95-11eb-8886-7c67a234f601
47,item8,Retail/ E-Commerce,905f84ab-ce95-11eb-8886-7c67a234f601
48,item6,Technology (Software/ Internet),905f84ac-ce95-11eb-bf5f-7c67a234f601
49,item2,Healthcare,905f84ac-ce95-11eb-bf5f-7c67a234f601
50,item1,Finance,905f84ac-ce95-11eb-bf5f-7c67a234f601
51,item6,Technology (Software/ Internet),905fab9d-ce95-11eb-a1ed-7c67a234f601
52,item4,Public Sector/ Non-Profit Agencies,905fab9d-ce95-11eb-a1ed-7c67a234f601
53,item1,Finance,905fab9d-ce95-11eb-a1ed-7c67a234f601
54,item3,Consulting,905fab9d-ce95-11eb-a1ed-7c67a234f601
55,item7,Energy,905fab9d-ce95-11eb-a1ed-7c67a234f601
56,item11,Insurance,905fab9d-ce95-11eb-a1ed-7c67a234f601
57,item13,Communications,905fab9d-ce95-11eb-a1ed-7c67a234f601
58,item5,Education,905fab9e-ce95-11eb-a53d-7c67a234f601
59,item5,Education,905fd65b-ce95-11eb-b835-7c67a234f601
60,item6,Technology (Software/ Internet),905fd65b-ce95-11eb-b835-7c67a234f601
61,item12,Marketing,905fd65b-ce95-11eb-b835-7c67a234f601
62,item13,Communications,905fd65b-ce95-11eb-b835-7c67a234f601
63,item6,Technology (Software/ Internet),905ff97f-ce95-11eb-a994-7c67a234f601
64,item6,Technology (Software/ Internet),905ff980-ce95-11eb-98b7-7c67a234f601
65,item8,Retail/ E-Commerce,905ff980-ce95-11eb-98b7-7c67a234f601
66,item1,Finance,905ff980-ce95-11eb-98b7-7c67a234f601
67,item7,Energy,905ff980-ce95-11eb-98b7-7c67a234f601
68,item11,Insurance,905ff980-ce95-11eb-98b7-7c67a234f601
69,item5,Education,905ff980-ce95-11eb-98b7-7c67a234f601
70,other,other,905ff980-ce95-11eb-98b7-7c67a234f601
71,item2,Healthcare,90602078-ce95-11eb-bc1d-7c67a234f601
72,item6,Technology (Software/ Internet),906036c8-ce95-11eb-8c78-7c67a234f601
73,item6,Technology (Software/ Internet),9060477c-ce95-11eb-ace3-7c67a234f601
74,item10,Transportation,9060477c-ce95-11eb-ace3-7c67a234f601
75,item6,Technology (Software/ Internet),9060477d-ce95-11eb-ab2e-7c67a234f601
76,item8,Retail/ E-Commerce,9060477d-ce95-11eb-ab2e-7c67a234f601
77,item12,Marketing,9060477d-ce95-11eb-ab2e-7c67a234f601
78,item6,Technology (Software/ Internet),9060617e-ce95-11eb-bd26-7c67a234f601
79,item5,Education,9060617e-ce95-11eb-bd26-7c67a234f601
80,item2,Healthcare,906073cb-ce95-11eb-acb0-7c67a234f601
81,item12,Marketing,906073cb-ce95-11eb-acb0-7c67a234f601
82,other,other,906073cb-ce95-11eb-acb0-7c67a234f601
83,item10,Transportation,906073cb-ce95-11eb-acb0-7c67a234f601
84,item4,Public Sector/ Non-Profit Agencies,906073cb-ce95-11eb-acb0-7c67a234f601
85,item6,Technology (Software/ Internet),906073cc-ce95-11eb-aac4-7c67a234f601
86,item13,Communications,906073cc-ce95-11eb-aac4-7c67a234f601
87,item5,Education,906073cc-ce95-11eb-aac4-7c67a234f601
88,item2,Healthcare,906073cc-ce95-11eb-aac4-7c67a234f601
89,item12,Marketing,906073cc-ce95-11eb-aac4-7c67a234f601
90,item6,Technology (Software/ Internet),90609554-ce95-11eb-a24a-7c67a234f601
91,item13,Communications,90609554-ce95-11eb-a24a-7c67a234f601
92,item5,Education,90609555-ce95-11eb-b61a-7c67a234f601
93,item13,Communications,90609555-ce95-11eb-b61a-7c67a234f601
94,item13,Communications,9060c2e6-ce95-11eb-b8b8-7c67a234f601
95,item12,Marketing,9060c2e6-ce95-11eb-b8b8-7c67a234f601
96,item3,Consulting,9060c2e6-ce95-11eb-b8b8-7c67a234f601
97,item2,Healthcare,9060c2e6-ce95-11eb-b8b8-7c67a234f601
98,item8,Retail/ E-Commerce,9060c2e6-ce95-11eb-b8b8-7c67a234f601
99,item8,Retail/ E-Commerce,9060cbb2-ce95-11eb-bac1-7c67a234f601
100,item1,Finance,9060cbb2-ce95-11eb-bac1-7c67a234f601
101,item3,Consulting,9060cbb2-ce95-11eb-bac1-7c67a234f601
102,item5,Education,9060cbb2-ce95-11eb-bac1-7c67a234f601
103,item10,Transportation,9060cbb2-ce95-11eb-bac1-7c67a234f601
104,item2,Healthcare,9060e347-ce95-11eb-abbb-7c67a234f601
105,other,other,9060e347-ce95-11eb-abbb-7c67a234f601
106,item1,Finance,90610a3c-ce95-11eb-a50e-7c67a234f601
107,item5,Education,90610a3c-ce95-11eb-a50e-7c67a234f601
108,item12,Marketing,90610a3c-ce95-11eb-a50e-7c67a234f601
109,item13,Communications,90610a3c-ce95-11eb-a50e-7c67a234f601
110,item11,Insurance,90610a3c-ce95-11eb-a50e-7c67a234f601
111,item8,Retail/ E-Commerce,90610a3c-ce95-11eb-a50e-7c67a234f601
112,item3,Consulting,90611cd3-ce95-11eb-bebc-7c67a234f601
113,item1,Finance,90611cd3-ce95-11eb-bebc-7c67a234f601
114,item6,Technology (Software/ Internet),90611cd3-ce95-11eb-bebc-7c67a234f601
115,item12,Marketing,90611cd3-ce95-11eb-bebc-7c67a234f601
116,item8,Retail/ E-Commerce,90611cd3-ce95-11eb-bebc-7c67a234f601
117,item1,Finance,9061312a-ce95-11eb-ba28-7c67a234f601
118,item2,Healthcare,9061312a-ce95-11eb-ba28-7c67a234f601
119,item3,Consulting,9061312a-ce95-11eb-ba28-7c67a234f601
120,item4,Public Sector/ Non-Profit Agencies,9061312a-ce95-11eb-ba28-7c67a234f601
121,item5,Education,9061312a-ce95-11eb-ba28-7c67a234f601
122,item6,Technology (Software/ Internet),9061312a-ce95-11eb-ba28-7c67a234f601
123,item7,Energy,9061312a-ce95-11eb-ba28-7c67a234f601
124,item8,Retail/ E-Commerce,9061312a-ce95-11eb-ba28-7c67a234f601
125,item10,Transportation,9061312a-ce95-11eb-ba28-7c67a234f601
126,item11,Insurance,9061312a-ce95-11eb-ba28-7c67a234f601
127,item12,Marketing,9061312a-ce95-11eb-ba28-7c67a234f601
128,item13,Communications,9061312a-ce95-11eb-ba28-7c67a234f601
129,item2,Healthcare,90614c17-ce95-11eb-b604-7c67a234f601
130,item6,Technology (Software/ Internet),90614c17-ce95-11eb-b604-7c67a234f601
131,item12,Marketing,90614c17-ce95-11eb-b604-7c67a234f601
132,item1,Finance,9061581f-ce95-11eb-af12-7c67a234f601
133,item3,Consulting,9061581f-ce95-11eb-af12-7c67a234f601
134,item5,Education,9061581f-ce95-11eb-af12-7c67a234f601
135,item6,Technology (Software/ Internet),9061581f-ce95-11eb-af12-7c67a234f601
136,item8,Retail/ E-Commerce,9061581f-ce95-11eb-af12-7c67a234f601
137,item13,Communications,9061581f-ce95-11eb-af12-7c67a234f601
138,item7,Energy,9061581f-ce95-11eb-af12-7c67a234f601
139,item11,Insurance,9061581f-ce95-11eb-af12-7c67a234f601
140,item5,Education,90615820-ce95-11eb-9088-7c67a234f601
141,item13,Communications,90615820-ce95-11eb-9088-7c67a234f601
142,item12,Marketing,90615820-ce95-11eb-9088-7c67a234f601
143,item6,Technology (Software/ Internet),90615820-ce95-11eb-9088-7c67a234f601
144,item4,Public Sector/ Non-Profit Agencies,90615820-ce95-11eb-9088-7c67a234f601
145,item8,Retail/ E-Commerce,90615820-ce95-11eb-9088-7c67a234f601
146,item6,Technology (Software/ Internet),906178f8-ce95-11eb-95e9-7c67a234f601
147,item1,Finance,90617f12-ce95-11eb-a3c8-7c67a234f601
148,item6,Technology (Software/ Internet),90617f12-ce95-11eb-a3c8-7c67a234f601
149,item4,Public Sector/ Non-Profit Agencies,90617f12-ce95-11eb-a3c8-7c67a234f601
150,item8,Retail/ E-Commerce,90617f12-ce95-11eb-a3c8-7c67a234f601
151,item13,Communications,90617f13-ce95-11eb-bc4e-7c67a234f601
152,item6,Technology (Software/ Internet),90617f13-ce95-11eb-bc4e-7c67a234f601
153,item8,Retail/ E-Commerce,90617f13-ce95-11eb-bc4e-7c67a234f601
154,item4,Public Sector/ Non-Profit Agencies,90617f13-ce95-11eb-bc4e-7c67a234f601
155,item5,Education,90617f13-ce95-11eb-bc4e-7c67a234f601
